"Name", "Stmts", "Miss", "Cover"
"gen_stm32/__init__.py", "9", "0", "100%"
"gen_stm32/core/__init__.py", "9", "0", "100%"
"gen_stm32/core/model/__init__.py", "9", "0", "100%"
"gen_stm32/core/model/project_setup.py", "14", "0", "100%"
"gen_stm32/core/service/__init__.py", "9", "0", "100%"
"gen_stm32/core/service/engine.py", "27", "0", "100%"
"gen_stm32/core/service/iservice.py", "14", "0", "100%"
"gen_stm32/core/service/isubprocessor.py", "14", "0", "100%"
"gen_stm32/engine.py", "57", "0", "100%"
"gen_stm32/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_stm32/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_stm32/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_stm32/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_stm32/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_stm32/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_stm32/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_stm32/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_stm32/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_stm32/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_stm32/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_stm32/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_stm32/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_stm32/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_stm32/infrastructure/command/command.py", "16", "0", "100%"
"gen_stm32/infrastructure/command/gen_stm32_command_definition.py", "24", "0", "100%"
"gen_stm32/infrastructure/command/gen_stm32_command_executor.py", "21", "0", "100%"
"gen_stm32/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_stm32/infrastructure/command/icommand_executor.py", "13", "0", "100%"
"gen_stm32/infrastructure/subprocessor.py", "56", "0", "100%"
"gen_stm32/setup/__init__.py", "9", "0", "100%"
"gen_stm32/setup/bundle.py", "23", "0", "100%"
"gen_stm32/setup/dep_validator.py", "36", "0", "100%"
"gen_stm32/setup/dependencies.py", "19", "0", "100%"
"gen_stm32/setup/factory.py", "48", "0", "100%"
"gen_stm32/setup/keys.py", "27", "0", "100%"
"gen_stm32/setup/opt_validator.py", "34", "0", "100%"
"gen_stm32/setup/options.py", "12", "0", "100%"
"gen_stm32/setup/registry.py", "32", "0", "100%"
"gen_stm32/setup/validator.py", "48", "0", "100%"
"Total", "929", "0", "100%"
